player,pos,team_id
Len Elmore,C,NJN
Alex English,SF,DEN
Julius Erving,SF,PHI
Mike Evans,PG,TOT
Eric Fernsten,C,BOS
Chris Ford,SG,BOS
Don Ford,SF,CLE
Phil Ford,PG,KCK
World B. Free,SG,GSW
Mike Gale,PG,GSW
Calvin Garrett,SF,HOU
George Gervin,SG,SAS
Artis Gilmore,C,CHI
Mike Glenn,SG,ATL
Mike Gminski,C,NJN
Glen Gondrezick,SF,DEN
Rickey Green,PG,UTA
Dave Greenwood,PF,CHI
Kevin Grevey,SG,WSB
Paul Griffin,PF,SAS
Darrell Griffith,SG,UTA
Bob Gross,SF,POR
Ernie Grunfeld,SG,KCK
Pétur Guðmundsson,C,POR
Glenn Hagan,PG,DET
Bill Hanzlik,SF,SEA
Alan Hardy,SG,DET
James Hardy,SF,UTA
Mike Harper,PF,POR
Joe Hassett,SG,GSW
Steve Hawes,PF,ATL
Elvin Hayes,PF,HOU
Steve Hayes,C,TOT
Spencer Haywood,PF,WSB
Gerald Henderson,PG,BOS
Tom Henderson,SG,HOU
Keith Herron,SG,CLE
Kenny Higgs,PG,DEN
Armond Hill,PG,TOT
Brad Holland,SG,TOT
Lionel Hollins,PG,PHI
Cedrick Hordges,PF,DEN
Phil Hubbard,SF,TOT
Geoff Huston,PG,CLE
Dan Issel,C,DEN
Tracy Jackson,SG,TOT
Clay Johnson,SG,LAL
Clemon Johnson,C,IND
Dennis Johnson,SG,PHO
Eddie Johnson,SG,ATL
Eddie Johnson,SF,KCK
Frank Johnson,PG,WSB
George Johnson,C,SAS
George Johnson,PF,IND
John Johnson,SF,SEA
Magic Johnson,SG,LAL
Marques Johnson,SF,MIL
Mickey Johnson,PF,MIL
Ollie Johnson,SF,PHI
Reggie Johnson,PF,TOT
Steve Johnson,C,KCK
Vinnie Johnson,SG,TOT
Bobby Jones,PF,PHI
Caldwell Jones,C,PHI
Dwight Jones,PF,CHI
Edgar Jones,PF,DET
Major Jones,PF,HOU
Eddie Jordan,PG,LAL
Jeff Judkins,SF,DET
Clarence Kea,PF,DAL
Rich Kelley,C,PHO
Greg Kelser,SF,TOT
Larry Kenon,PF,CHI
Albert King,SF,NJN
Bernard King,SF,GSW
Reggie King,SF,KCK
Billy Knight,SF,IND
Toby Knight,SF,NYK
Joel Kramer,PF,PHO
Kevin Kunnert,C,POR
Mitch Kupchak,PF,LAL
Sam Lacey,C,TOT
Tom LaGarde,C,DAL
Bill Laimbeer,C,TOT
John Lambert,PF,TOT
Jeff Lamp,SF,POR
Mark Landsberger,PF,LAL
Bob Lanier,C,MIL
Allen Leavell,PG,HOU
Rock Lee,C,SDC
Ron Lee,PG,DET
Ronnie Lester,PG,CHI
Alton Lister,C,MIL
Lewis Lloyd,SG,GSW
Scott Lloyd,PF,DAL
Kevin Loder,SF,KCK
John Long,SG,DET
John Lucas,PG,WSB
Maurice Lucas,PF,NYK
Ollie Mack,SG,DAL
Rudy Macklin,SF,ATL
Kyle Macy,PG,PHO
Rick Mahorn,PF,WSB
Moses Malone,C,HOU
Wes Matthews,PG,ATL
Cedric Maxwell,SF,BOS
Scott May,SF,MIL
Bob McAdoo,C,LAL
John McCullough,SG,PHO
Hank McDowell,PF,GSW
Jim McElroy,PG,ATL
Mike McGee,SF,LAL
George McGinnis,PF,IND
Kevin McHale,PF,BOS
Kevin McKenna,SG,LAL
Billy McKinney,PG,DEN
Tom McMillen,C,ATL
Joe Meriweather,C,KCK
Mike Mitchell,SF,TOT
Steve Mix,SF,PHI
Paul Mokeski,C,TOT
Sidney Moncrief,SG,MIL
Johnny Moore,PG,SAS
Lowes Moore,PG,CLE
Calvin Murphy,PG,HOU
Larry Nance,PF,PHO
Swen Nater,C,SDC
Calvin Natt,SF,POR
Mike Newlin,SG,NYK
Carl Nicks,SG,UTA
Kurt Nimphius,C,DAL
Norm Nixon,PG,LAL
Mike O'Koren,SF,NJN
Mark Olberding,PF,SAS
Jawann Oldham,C,HOU
Louis Orr,SF,IND
Tom Owens,PF,IND
Robert Parish,C,BOS
Sonny Parker,SF,GSW
Billy Paultz,C,HOU
Jim Paxson,SG,POR
Sam Pellom,PF,ATL
Roger Phegley,SG,TOT
Ben Poquette,PF,UTA
Mark Radford,SG,SEA
Ed Rains,SF,SAS
Kurt Rambis,PF,LAL
Kelvin Ransey,PG,POR
James Ray,PF,DEN
Robert Reid,SF,HOU
Kevin Restani,PF,TOT
Clint Richardson,SG,PHI
Micheal Ray Richardson,PG,NYK
Rick Robey,C,BOS
Cliff Robinson,PF,TOT
Jackie Robinson,SF,CHI
Truck Robinson,PF,PHO
Bill Robinzine,PF,UTA
Dave Robisch,C,DEN
John Roche,SG,DEN
Tree Rollins,C,ATL
Lorenzo Romar,PG,GSW
Dan Roundfield,PF,ATL
Jeff Ruland,C,WSB
Campy Russell,SF,NYK
DeWayne Scales,PF,NYK
Danny Schayes,C,UTA
Alvin Scott,SF,PHO
Craig Shelton,SF,ATL
Lonnie Shelton,PF,SEA
Purvis Short,SF,GSW
Jerry Sichting,PG,IND
Jack Sikma,C,SEA
James Silas,SG,CLE
Jim Smith,PF,SDC
Larry Smith,PF,GSW
Phil Smith,SG,TOT
Randy Smith,SG,NYK
Robert Smith,PG,MIL
Ricky Sobers,SG,CHI
Jim Spanarkel,SG,DAL
Rory Sparrow,PG,ATL
Larry Spriggs,SF,HOU
Kevin Stacom,SG,MIL
Brian Taylor,PG,SDC
Carlos Terry,SG,WSB
Reggie Theus,SG,CHI
Isiah Thomas,PG,DET
David Thompson,SG,DEN
Mychal Thompson,C,POR
Ray Tolbert,PF,TOT
Andrew Toney,SG,PHI
Raymond Townsend,SG,IND
Kelly Tripucka,SF,DET
Elston Turner,SF,DAL
Terry Tyler,PF,DET
Darnell Valentine,PG,POR
Jan van Breda Kolff,SF,NJN
Kiki Vandeweghe,PF,DEN
Pete Verhoeven,PF,POR
Jay Vincent,PF,DAL
Danny Vranes,SF,SEA
Foots Walker,PG,NJN
Wally Walker,SF,SEA
Kermit Washington,PF,POR
Richard Washington,PF,CLE
Marvin Webster,C,NYK
Scott Wedman,SF,CLE
Paul Westphal,SG,NYK
Jerome Whitehead,C,SDC
Hawkeye Whitney,SG,KCK
Michael Wiley,PF,SDC
Bob Wilkerson,SF,CLE
Jamaal Wilkes,SF,LAL
James Wilkes,SF,CHI
Jeff Wilkins,C,UTA
Buck Williams,PF,NJN
Freeman Williams,SG,TOT
Gus Williams,PG,SEA
Herb Williams,C,IND
Ray Williams,SG,NJN
Sam Williams,PF,GSW
Sly Williams,SF,NYK
Bill Willoughby,SF,HOU
Brian Winters,SG,MIL
Garry Witts,SF,WSB
Al Wood,SG,TOT
Howard Wood,SF,UTA
Mike Woodson,SG,TOT
Orlando Woolridge,SF,CHI
Sam Worthen,PG,UTA
Larry Wright,PG,DET
Rich Yonakor,PF,SAS
Kareem Abdul-Jabbar,C,LAL
Alvan Adams,C,PHO
Mark Aguirre,SF,DAL
Danny Ainge,SG,BOS
Dwight Anderson,PG,DEN
J.J. Anderson,SF,TOT
Richard Anderson,C,SDC
Tiny Archibald,PG,BOS
John Bagley,PG,CLE
James Bailey,PF,TOT
Greg Ballard,SF,WSB
Gene Banks,PF,SAS
Billy Ray Bates,SG,TOT
Dave Batton,C,WSB
Kent Benson,C,DET
Larry Bird,PF,BOS
Otis Birdsong,SG,NJN
Rolando Blackman,SG,DAL
Charles Bradley,SG,BOS
Dudley Bradley,SG,CHI
Brad Branson,PF,IND
Mike Bratz,PG,CHI
Ron Brewer,SG,TOT
Junior Bridgeman,SF,MIL
Allan Bristow,SF,DAL
Jim Brogan,SG,SDC
Michael Brooks,SF,SDC
Fred Brown,PG,SEA
Rickey Brown,C,TOT
Joe Bryant,SF,HOU
Quinn Buckner,SG,BOS
Don Buse,PG,POR
Marty Byrnes,SF,IND
Kenny Carr,PF,POR
M.L. Carr,SF,BOS
Joe Barry Carroll,C,GSW
Butch Carter,SG,IND
Bill Cartwright,C,NYK
Harvey Catchings,C,MIL
Tom Chambers,PF,SDC
Maurice Cheeks,PG,PHI
Don Collins,SF,WSB
Lester Conner,PG,GSW
Darwin Cook,PG,NJN
Jeff Cook,PF,TOT
Joe Cooper,C,TOT
Michael Cooper,SG,LAL
Wayne Cooper,C,POR
Dave Corzine,C,CHI
Dave Cowens,PF,MIL
Chubby Cox,SG,WSB
Charlie Criss,PG,MIL
Geoff Crompton,C,SAS
Pat Cummings,C,DAL
Terry Cummings,PF,SDC
Earl Cureton,C,PHI
Quintin Dailey,SG,CHI
Adrian Dantley,SF,UTA
Brad Davis,PG,DAL
Charles Davis,SF,WSB
Johnny Davis,SG,ATL
Mike Davis,PF,NYK
Walter Davis,SG,PHO
Darryl Dawkins,C,NJN
Kenny Dennard,PF,KCK
Coby Dietrick,C,SAS
James Donaldson,C,SEA
John Douglas,SG,SDC
Leon Douglas,C,KCK
John Drew,SF,UTA
Larry Drew,PG,KCK
Terry Duerod,SG,GSW
Mike Dunleavy,PG,SAS
T.R. Dunn,SG,DEN
John Duren,PG,IND
Mark Eaton,C,UTA
Jerry Eaves,PG,UTA
Keith Edmonson,SG,ATL
Franklin Edwards,PG,PHI
James Edwards,C,TOT
Len Elmore,C,NJN
Chris Engler,C,GSW
Alex English,SF,DEN
Julius Erving,SF,PHI
Mike Evans,SG,DEN
Bruce Flowers,PF,CLE
Sleepy Floyd,PG,TOT
Phil Ford,PG,TOT
World B. Free,SG,TOT
Bill Garnett,C,DAL
Calvin Garrett,SF,HOU
George Gervin,SG,SAS
Artis Gilmore,C,SAS
Mike Glenn,SG,ATL
Mike Gminski,C,NJN
Glen Gondrezick,PF,DEN
Rickey Green,PG,UTA
Dave Greenwood,PF,CHI
John Greig,SF,SEA
Kevin Grevey,SF,WSB
Paul Griffin,PF,SAS
Darrell Griffith,SG,UTA
Bob Gross,SF,SDC
Ernie Grunfeld,SF,NYK
Bill Hanzlik,SF,DEN
Joe Hassett,SG,GSW
Scott Hastings,C-PF,TOT
Steve Hawes,PF,TOT
Elvin Hayes,PF,HOU
Steve Hayes,C,CLE
Spencer Haywood,PF,WSB
Gerald Henderson,PG,BOS
Tom Henderson,SG,HOU
Rod Higgins,SF,CHI
Johnny High,SG,PHO
Armond Hill,PG,MIL
Craig Hodges,SG,SDC
Lionel Hollins,PG,SDC
Phil Hubbard,SF,CLE
Geoff Huston,PG,CLE
Marc Iavaroni,PF,PHI
Dan Issel,C,DEN
Tracy Jackson,SG,CHI
Clay Johnson,SG,LAL
Clemon Johnson,C,TOT
Dennis Johnson,PG,PHO
Eddie Johnson,SG,ATL
Eddie Johnson,SF,KCK
Frank Johnson,PG,WSB
George Johnson,C,ATL
George Johnson,SF,IND
Magic Johnson,SG,LAL
Marques Johnson,SF,MIL
Mickey Johnson,PF,TOT
Reggie Johnson,SF,TOT
Steve Johnson,C,KCK
Vinnie Johnson,SG,DET
Jim Johnstone,PF-C,TOT
Bobby Jones,PF,PHI
Caldwell Jones,C,HOU
Dwight Jones,PF,TOT
Edgar Jones,PF,TOT
Hutch Jones,SF,SDC
Major Jones,PF,HOU
Eddie Jordan,PG,LAL
Jeff Judkins,SF,POR
Rich Kelley,C,TOT
Clark Kellogg,PF,IND
Greg Kelser,SF,SEA
Larry Kenon,PF,TOT
Albert King,SF,NJN
Bernard King,SF,NYK
Reggie King,SF,KCK
Billy Knight,SG,IND
Joe Kopicki,PF,WSB
Joel Kramer,C,PHO
Sam Lacey,C,CLE
Bill Laimbeer,C,DET
Jeff Lamp,SF,POR
Mark Landsberger,PF,LAL
Bob Lanier,C,MIL
Allen Leavell,PG,HOU
Ronnie Lester,PG,CHI
Fat Lever,PG,POR
Cliff Levingston,PF,DET
Steve Lingenfelter,PF,WSB
Alton Lister,PF,MIL
Lewis Lloyd,SG,GSW
Scott Lloyd,C,DAL
Kevin Loder,SF,KCK
John Long,SG,DET
John Lucas,PG,WSB
Maurice Lucas,PF,PHO
Rudy Macklin,SF,ATL
Kyle Macy,PG,PHO
Dave Magley,SF,CLE
Rick Mahorn,PF,WSB
Moses Malone,C,PHI
Wes Matthews,PG,ATL
Cedric Maxwell,SF,BOS
Scott May,SF,DET
Bob McAdoo,C,LAL
Hank McDowell,PF,TOT
Mike McGee,SF,LAL
Kevin McHale,PF,BOS
Billy McKinney,PG,DEN
Tom McMillen,C,ATL
Mark McNamara,C,PHI
Joe Meriweather,C,KCK
Mike Mitchell,SF,SAS
Steve Mix,SF,TOT
Paul Mokeski,C,TOT
Sidney Moncrief,SG,MIL
Johnny Moore,PG,SAS
Lowes Moore,PG,SDC
Guy Morgan,SG,IND
Calvin Murphy,PG,HOU
Larry Nance,PF,PHO
Swen Nater,C,SDC
Calvin Natt,SF,POR
Kenny Natt,SG,UTA
Ed Nealy,PF,KCK
Chuck Nevitt,C,HOU
Carl Nicks,SG,CLE
Kurt Nimphius,C,DAL
Norm Nixon,PG,LAL
Audie Norris,C,POR
Mike O'Koren,SF,NJN
Mark Olberding,PF,CHI
Jawann Oldham,C,CHI
Louis Orr,SF,NYK
Tom Owens,C,DET
Robert Parish,C,BOS
Billy Paultz,C,TOT
Jim Paxson,SG,POR
Sam Pellom,PF,TOT
Roger Phegley,SG,SAS
Eddie Phillips,SF,NJN
Ricky Pierce,SG,DET
Charles Pittman,PF,PHO
Ben Poquette,PF,UTA
Kevin Porter,PG,WSB
Paul Pressey,SG,MIL
Mark Radford,SG,SEA
Ed Rains,SF,SAS
Kurt Rambis,PF,LAL
Kelvin Ransey,PG,DAL
James Ray,PF,DEN
Clint Richardson,SG,PHI
Micheal Ray Richardson,PG,TOT
Rick Robey,C,BOS
Cliff Robinson,PF,CLE
Oliver Robinson,SG,SAS
Truck Robinson,PF,NYK
Dave Robisch,C,DEN
Tree Rollins,C,ATL
Lorenzo Romar,PG,GSW
Dan Roundfield,PF,ATL
Jeff Ruland,C,WSB
Walker Russell,PG,DET
Mike Sanders,SF,SAS
Danny Schayes,C,TOT
Russ Schoene,PF,TOT
Alvin Scott,SF,PHO
Lonnie Shelton,PF,SEA
Ed Sherod,PG,NYK
Purvis Short,SF,GSW
Jerry Sichting,PG,IND
Jack Sikma,C,SEA
Jose Slaughter,SG,IND
Derek Smith,SF,GSW
Jim Smith,PF,DET
Larry Smith,PF,GSW
Phil Smith,SG,SEA
Randy Smith,SG,TOT
Robert Smith,PG,TOT
Ricky Sobers,SG,WSB
Jim Spanarkel,SG,DAL
Rory Sparrow,PG,TOT
Larry Spriggs,SF,CHI
Brook Steppe,SG,KCK
Jeff Taylor,SG,HOU
Vince Taylor,SG,NYK
Terry Teagle,SG,HOU
Carlos Terry,SG,WSB
Reggie Theus,PG,CHI
David Thirdkill,SF,PHO
Isiah Thomas,PG,DET
Corny Thompson,PF,DAL
David Thompson,SG,SEA
LaSalle Thompson,C,KCK
Mychal Thompson,C,POR
Darren Tillis,C,TOT
Ray Tolbert,PF,TOT
Andrew Toney,SG,PHI
Linton Townes,SF,POR
Kelly Tripucka,SF,DET
Trent Tucker,SG,NYK
Elston Turner,SF,DAL
Terry Tyler,SF,DET
Darnell Valentine,PG,POR
Jan van Breda Kolff,SF,NJN
Kiki Vandeweghe,PF,DEN
Pete Verhoeven,PF,POR
Jay Vincent,PF,DAL
Danny Vranes,SF,SEA
Foots Walker,PG,NJN
Wally Walker,SF,HOU
Bill Walton,C,SDC
Bryan Warrick,PG,WSB
Marvin Webster,C,NYK
Scott Wedman,SF,TOT
Paul Westphal,SG,NYK
Rory White,SF,PHO
Jerome Whitehead,C,SDC
Bob Wilkerson,SF,CLE
Jamaal Wilkes,SF,LAL
James Wilkes,SF,DET
Dominique Wilkins,SF,ATL
Jeff Wilkins,C,UTA
Buck Williams,PF,NJN
Freeman Williams,SG,UTA
Gus Williams,PG,SEA
Herb Williams,C,IND
Ray Williams,PG,KCK
Rickey Williams,SG,UTA
Rob Williams,PG,DEN
Sam Williams,PF,GSW
Sly Williams,PF,NYK
Bill Willoughby,SF,TOT
Brian Winters,SG,MIL
Al Wood,SF,SDC
Mike Woodson,SG,KCK
Orlando Woolridge,SF,CHI
James Worthy,SF,LAL
Jim Zoet,C,DET
Kareem Abdul-Jabbar,C,LAL
Alvan Adams,C,PHO
Mark Aguirre,SF,DAL
Danny Ainge,SG,BOS
J.J. Anderson,SF,UTA
Richard Anderson,PF,DEN
Tiny Archibald,PG,MIL
Ken Austin,SF,DET
John Bagley,PG,CLE
James Bailey,PF,HOU
Thurl Bailey,PF,UTA
Greg Ballard,SF,WSB
Gene Banks,PF,SAS
Dave Batton,C,SAS
Kent Benson,C,DET
Larry Bird,PF,BOS
Otis Birdsong,SG,NJN
Rolando Blackman,SG,DAL
Tom Boswell,PF,UTA
Charles Bradley,SG,SEA
Mike Bratz,PG,GSW
Randy Breuer,C,MIL
Ron Brewer,SG,TOT
Junior Bridgeman,SF,MIL
Michael Brooks,SF,SDC
Fred Brown,SG,SEA
Rickey Brown,C,ATL
Wallace Bryant,C,CHI
Quinn Buckner,PG,BOS
Don Buse,PG,KCK
Kenny Carr,PF,POR
M.L. Carr,SF,BOS
Joe Barry Carroll,C,GSW
Butch Carter,SG,IND
Howard Carter,SG,DEN
Bill Cartwright,C,NYK
Harvey Catchings,PF,MIL
Tom Chambers,PF,SEA
Maurice Cheeks,PG,PHI
Carlos Clark,SG,BOS
Don Collins,SG,GSW
Leroy Combs,SF,IND
Lester Conner,SG,GSW
Darwin Cook,PG,NJN
Jeff Cook,C,CLE
Michael Cooper,SG,LAL
Wayne Cooper,C,POR
Dave Corzine,C,CHI
Charlie Criss,PG,TOT
Geoff Crompton,C,CLE
Russell Cross,C,GSW
Pat Cummings,PF,DAL
Terry Cummings,PF,SDC
Earl Cureton,C,DET
Quintin Dailey,SG,CHI
Adrian Dantley,SF,UTA
Brad Davis,PG,DAL
Charles Davis,SF,WSB
Johnny Davis,PG,ATL
Walter Davis,SG,PHO
Darryl Dawkins,C,NJN
Darren Daye,SF,WSB
Kenny Dennard,PF,DEN
James Donaldson,C,SDC
John Drew,SF,UTA
Larry Drew,PG,KCK
Clyde Drexler,SG,POR
Mike Dunleavy,PG,MIL
T.R. Dunn,SG,DEN
Mark Eaton,C,UTA
Jerry Eaves,PG,UTA
Keith Edmonson,SG,TOT
Franklin Edwards,PG,PHI
James Edwards,C,PHO
Craig Ehlo,SG,HOU
Dale Ellis,SF,DAL
Len Elmore,PF,NYK
Chris Engler,C,GSW
Alex English,SF,DEN
Julius Erving,SF,PHI
Mike Evans,PG,DEN
Eric Fernsten,PF,NYK
Sleepy Floyd,PG,GSW
Phil Ford,PG,HOU
Rod Foster,PG,PHO
World B. Free,SG,CLE
Bill Garnett,PF,DAL
Calvin Garrett,SF,LAL
John Garris,PF,CLE
George Gervin,SG,SAS
Mike Gibson,PF,WSB
Artis Gilmore,C,SAS
Mike Glenn,SG,ATL
Mike Gminski,C,NJN
Stewart Granger,PG,CLE
Rickey Green,PG,UTA
Sidney Green,PF,CHI
Dave Greenwood,PF,CHI
Kevin Grevey,SG,MIL
Darrell Griffith,SG,UTA
Ernie Grunfeld,SG,NYK
Bob Hansen,SG,UTA
Bill Hanzlik,SF,DEN
Derek Harper,PG,DAL
Scott Hastings,PF,ATL
Steve Hawes,PF,SEA
Elvin Hayes,PF,HOU
Steve Hayes,C,SEA
Gerald Henderson,PG,BOS
Rod Higgins,SF,CHI
Johnny High,PG,PHO
Armond Hill,PG,ATL
Roy Hinson,SF,CLE
Craig Hodges,SG,SDC
Lionel Hollins,PG,DET
Phil Hubbard,SF,CLE
Geoff Huston,PG,CLE
Marc Iavaroni,PF,PHI
Dan Issel,C,DEN
Tracy Jackson,SG,IND
Clay Johnson,SG,SEA
Clemon Johnson,C,PHI
Dennis Johnson,SG,BOS
Eddie Johnson,SG,ATL
Eddie Johnson,SF,KCK
Frank Johnson,PG,WSB
George Johnson,SF,IND
Magic Johnson,PG,LAL
Marques Johnson,SF,MIL
Mickey Johnson,PF,GSW
Reggie Johnson,PF,NJN
Steve Johnson,C,TOT
Vinnie Johnson,SG,DET
Bobby Jones,PF,PHI
Caldwell Jones,C,HOU
Charles Jones,PF,PHI
Edgar Jones,PF,SAS
Hutch Jones,SF,SDC
Major Jones,PF,HOU
Mark Jones,PG,NJN
Eddie Jordan,PG,TOT
Rich Kelley,C,UTA
Clark Kellogg,PF,IND
Greg Kelser,SF,SDC
Albert King,SF,NJN
Bernard King,SF,NYK
Reggie King,SF,SEA
Greg Kite,C,BOS
Billy Knight,SF,KCK
Joe Kopicki,PF,WSB
Bruce Kuczenski,PF,TOT
Mitch Kupchak,PF,LAL
Bill Laimbeer,C,DET
Jeff Lamp,SF,POR
Mark Landsberger,PF,ATL
Bob Lanier,C,MIL
Allen Leavell,PG,HOU
Ronnie Lester,PG,CHI
Fat Lever,PG,POR
Cliff Levingston,PF,DET
Steve Lingenfelter,PF,SAS
Alton Lister,PF,MIL
Lewis Lloyd,SG,HOU
Darrell Lockhart,C,SAS
Kevin Loder,SF,TOT
John Long,SG,DET
Sidney Lowe,PG,IND
John Lucas,PG,SAS
Maurice Lucas,PF,PHO
Rudy Macklin,SF,NYK
Kyle Macy,PG,PHO
Rick Mahorn,PF,WSB
Jeff Malone,SG,WSB
Moses Malone,C,PHI
Pace Mannion,SF,GSW
Wes Matthews,PG,TOT
Cedric Maxwell,SF,BOS
Bob McAdoo,C,LAL
Rodney McCray,SF,HOU
Scooter McCray,PF,SEA
Hank McDowell,PF,SDC
Mike McGee,SF,LAL
Kevin McHale,PF,BOS
Kevin McKenna,SG,IND
Billy McKinney,PG,SDC
Tom McMillen,C,WSB
Mark McNamara,C,SAS
Joe Meriweather,C,KCK
Larry Micheaux,PF,KCK
Bob Miller,PF,SAS
Mike Mitchell,SF,SAS
Paul Mokeski,C,MIL
Sidney Moncrief,SG,MIL
Johnny Moore,PG,SAS
Larry Nance,PF,PHO
Swen Nater,C,LAL
Calvin Natt,SF,POR
Ed Nealy,PF,KCK
Kurt Nimphius,C,DAL
Norm Nixon,PG,SDC
Audie Norris,C,POR
Mike O'Koren,SF,NJN
Mark Olberding,PF,KCK
Jawann Oldham,C,CHI
Louis Orr,SF,NYK
Robert Parish,C,BOS
Billy Paultz,C,ATL
Jim Paxson,SG,POR
John Paxson,PG,SAS
Roger Phegley,SG,TOT
Ricky Pierce,SG,SDC
John Pinone,SF,ATL
Tom Piotrowski,C,POR
Charles Pittman,PF,PHO
Ben Poquette,PF,CLE
Paul Pressey,SG,MIL
Kurt Rambis,PF,LAL
Kelvin Ransey,PG,NJN
Leo Rautins,SF,PHI
Robert Reid,SF,HOU
Clint Richardson,SG,PHI
Micheal Ray Richardson,PG,NJN
Doc Rivers,PG,ATL
Anthony Roberts,SF,DEN
Fred Roberts,PF,SAS
Rick Robey,C,PHO
Cliff Robinson,C,CLE
Truck Robinson,PF,NYK
Dave Robisch,C,TOT
Tree Rollins,C,ATL
Lorenzo Romar,PG,TOT
Dan Roundfield,PF,ATL
Jeff Ruland,C,WSB
Walker Russell,PG,DET
Ralph Sampson,C,HOU
Mike Sanders,SF,PHO
DeWayne Scales,PF,WSB
Danny Schayes,C,DEN
Alvin Scott,SF,PHO
Byron Scott,SG,LAL
Lonnie Shelton,PF,CLE
Purvis Short,SF,GSW
Jerry Sichting,PG,IND
Jack Sikma,C,SEA
Derek Smith,SG,SDC
Larry Smith,PF,GSW
Ricky Sobers,SG,WSB
Jim Spanarkel,SG,DAL
Rory Sparrow,PG,NYK
Larry Spriggs,SF,LAL
Brook Steppe,SG,IND
Steve Stipanovich,C,IND
Jon Sundvold,PG,SEA
Dane Suttle,SG,KCK
Terry Teagle,SG,HOU
Reggie Theus,PG,TOT
David Thirdkill,SF,DET
Isiah Thomas,PG,DET
Jim Thomas,SG,IND
David Thompson,SG,SEA
LaSalle Thompson,C,KCK
Mychal Thompson,C,POR
Paul Thompson,SF,CLE
Sedale Threatt,PG,PHI
Darren Tillis,C,GSW
Ray Tolbert,PF,DET
Andrew Toney,SG,PHI
Linton Townes,SF,TOT
Kelly Tripucka,SF,DET
Trent Tucker,SG,NYK
Elston Turner,SF,DAL
Terry Tyler,SF,DET
Darnell Valentine,PG,POR
Kiki Vandeweghe,PF,DEN
Pete Verhoeven,PF,POR
Jay Vincent,SF,DAL
Danny Vranes,SF,SEA
Granville Waiters,C,IND
Darrell Walker,PG,NYK
Foots Walker,PG,NJN
Wally Walker,SF,HOU
Bill Walton,C,SDC
Bryan Warrick,PG,WSB
Marvin Webster,C,NYK
Scott Wedman,SF,BOS
Brant Weidner,PF,SAS
Mark West,C,DAL
Paul Westphal,SG,PHO
Ennis Whatley,PG,CHI
Rory White,SF,TOT
Jerome Whitehead,C,SDC
Mitchell Wiggins,SG,CHI
Jamaal Wilkes,SF,LAL
Dominique Wilkins,SF,ATL
Jeff Wilkins,C,UTA
Buck Williams,PF,NJN
Gus Williams,PG,SEA
Herb Williams,C,IND
Kevin Williams,SG,SAS
Ray Williams,SG,NYK
Rob Williams,PG,DEN
Sam Williams,PF,TOT
Sly Williams,SF,ATL
Bill Willoughby,SF,NJN
Michael Wilson,PG,WSB
Randy Wittman,SG,ATL
Al Wood,SG,SEA
Mike Woodson,SG,KCK
Orlando Woolridge,SF,CHI
James Worthy,PF,LAL
Kareem Abdul-Jabbar,C,LAL
